x,y
8.906999969482421875e+01,1.157261047363281250e+02
8.901580810546875000e+01,1.133620910644531250e+02
8.899936676025390625e+01,1.109974746704101562e+02
8.899844360351562500e+01,1.086328048706054688e+02
8.899954986572265625e+01,1.062681274414062500e+02
8.899997711181640625e+01,1.039034652709960938e+02
8.900001525878906250e+01,1.015387878417968750e+02
8.900000762939453125e+01,9.917411041259765625e+01
8.900011444091796875e+01,9.680944061279296875e+01
8.900047302246093750e+01,9.444477081298828125e+01
8.900025177001953125e+01,9.208009338378906250e+01
8.899436187744140625e+01,8.971543884277343750e+01
8.897697448730468750e+01,8.735083770751953125e+01
8.899205780029296875e+01,8.498702239990234375e+01
8.920793914794921875e+01,8.263679504394531250e+01
8.986711883544921875e+01,8.036585998535156250e+01
9.071010589599609375e+01,7.815781402587890625e+01
9.175575256347656250e+01,7.604023742675781250e+01
9.308840942382812500e+01,7.409377288818359375e+01
9.467181396484375000e+01,7.234497070312500000e+01
9.646604919433593750e+01,7.081381988525390625e+01
9.844374084472656250e+01,6.952776336669921875e+01
1.005432510375976562e+02,6.844165039062500000e+01
1.027252960205078125e+02,6.754005432128906250e+01
1.050177459716796875e+02,6.704190063476562500e+01
1.073790588378906250e+02,6.701026916503906250e+01
1.097385864257812500e+02,6.700097656250000000e+01
1.118941040039062500e+02,6.620865631103515625e+01
1.136436538696289062e+02,6.464219665527343750e+01
1.152098464965820312e+02,6.287161636352539062e+01
1.168664855957031250e+02,6.118426513671875000e+01
1.186987609863281250e+02,5.969309234619140625e+01
1.206871414184570312e+02,5.842731094360351562e+01
1.228254928588867188e+02,5.742609405517578125e+01
1.250590209960937500e+02,5.665582656860351562e+01
1.273486022949218750e+02,5.609820556640625000e+01
1.297071228027343750e+02,5.595878982543945312e+01
1.320677337646484375e+02,5.604928970336914062e+01
1.343772430419921875e+02,5.649578094482421875e+01
1.366230316162109375e+02,5.722967910766601562e+01
1.388031921386718750e+02,5.813991546630859375e+01
1.408574066162109375e+02,5.930254745483398438e+01
1.427177429199218750e+02,6.075827407836914062e+01
1.443719024658203125e+02,6.244807815551757812e+01
1.459025115966796875e+02,6.425038909912109375e+01
1.476429138183593750e+02,6.584351348876953125e+01
1.496943206787109375e+02,6.688357543945312500e+01
1.520374603271484375e+02,6.703483581542968750e+01
1.544003601074218750e+02,6.700529479980468750e+01
1.567244110107421875e+02,6.735056304931640625e+01
1.589344329833984375e+02,6.818341064453125000e+01
1.610441284179687500e+02,6.924896240234375000e+01
1.630451202392578125e+02,7.049810791015625000e+01
1.648795776367187500e+02,7.199021911621093750e+01
1.663868408203125000e+02,7.380982208251953125e+01
1.676591186523437500e+02,7.579466247558593750e+01
1.687309570312500000e+02,7.790094757080078125e+01
1.696123504638671875e+02,8.009291076660156250e+01
1.701647033691406250e+02,8.238575744628906250e+01
1.707765960693359375e+02,8.466977691650390625e+01
1.717932281494140625e+02,8.672569274902343750e+01
1.737698669433593750e+02,8.789447021484375000e+01
1.760651702880859375e+02,8.845973205566406250e+01
1.783372039794921875e+02,8.911382293701171875e+01
1.805807647705078125e+02,8.986087799072265625e+01
1.827474975585937500e+02,9.080570220947265625e+01
1.847014617919921875e+02,9.213559722900390625e+01
1.865163116455078125e+02,9.364828491210937500e+01
1.879929504394531250e+02,9.549488830566406250e+01
1.893177795410156250e+02,9.745288085937500000e+01
1.904162445068359375e+02,9.953791809082031250e+01
1.912410278320312500e+02,1.017509536743164062e+02
1.918650207519531250e+02,1.040280685424804688e+02
1.920297698974609375e+02,1.063869857788085938e+02
1.920224761962890625e+02,1.087515487670898438e+02
1.920049743652343750e+02,1.111161651611328125e+02
1.919996795654296875e+02,1.134808197021484375e+02
1.919994964599609375e+02,1.158454895019531250e+02
1.919998779296875000e+02,1.182101593017578125e+02
1.919999847412109375e+02,1.205748291015625000e+02
1.920000000000000000e+02,1.229395141601562500e+02
1.920000000000000000e+02,1.253041992187500000e+02
1.920000000000000000e+02,1.276688766479492188e+02
