x,y
5.727302169799804688e+01,8.838367462158203125e+01
5.781740951538085938e+01,8.599204254150390625e+01
5.823894500732421875e+01,8.357666778564453125e+01
5.891464614868164062e+01,8.121813201904296875e+01
5.965039825439453125e+01,7.887773895263671875e+01
6.041170120239257812e+01,7.654547119140625000e+01
6.129299926757812500e+01,7.426049041748046875e+01
6.255614852905273438e+01,7.217198944091796875e+01
6.407827758789062500e+01,7.024797821044921875e+01
6.566846466064453125e+01,6.837966918945312500e+01
6.741038513183593750e+01,6.665420532226562500e+01
6.928386688232421875e+01,6.507598876953125000e+01
7.127493286132812500e+01,6.364539718627929688e+01
7.338533020019531250e+01,6.239802932739257812e+01
7.557516479492187500e+01,6.129273605346679688e+01
7.775947570800781250e+01,6.017576217651367188e+01
7.997129821777343750e+01,5.911449813842773438e+01
8.229267120361328125e+01,5.832689285278320312e+01
8.469564819335937500e+01,5.785547256469726562e+01
8.709452056884765625e+01,5.734470748901367188e+01
8.952375793457031250e+01,5.704895019531250000e+01
9.197502136230468750e+01,5.698300933837890625e+01
9.442843627929687500e+01,5.698636245727539062e+01
9.688185119628906250e+01,5.698287963867187500e+01
9.933528137207031250e+01,5.698665618896484375e+01
1.017834014892578125e+02,5.713389587402343750e+01
1.041725540161132812e+02,5.767244338989257812e+01
1.065506439208984375e+02,5.826482009887695312e+01
1.088369369506835938e+02,5.915483856201171875e+01
1.110821304321289062e+02,6.014392852783203125e+01
1.133221282958984375e+02,6.114466857910156250e+01
1.155438003540039062e+02,6.218421554565429688e+01
1.176533966064453125e+02,6.342469406127929688e+01
1.196649322509765625e+02,6.482919311523437500e+01
1.217047119140625000e+02,6.619236755371093750e+01
1.236563796997070312e+02,6.766999816894531250e+01
1.254628143310546875e+02,6.932744598388671875e+01
1.271632156372070312e+02,7.109595489501953125e+01
1.289096679687500000e+02,7.281909942626953125e+01
1.310375061035156250e+02,7.389379882812500000e+01
1.331537780761718750e+02,7.276210784912109375e+01
1.349762573242187500e+02,7.111972808837890625e+01
1.368687591552734375e+02,6.955887603759765625e+01
1.387905731201171875e+02,6.803394317626953125e+01
1.407373046875000000e+02,6.654092407226562500e+01
1.427308502197265625e+02,6.511205291748046875e+01
1.447366027832031250e+02,6.370009231567382812e+01
1.466857452392578125e+02,6.221022033691406250e+01
1.487931365966796875e+02,6.096485519409179688e+01
1.510272979736328125e+02,5.995136260986328125e+01
1.533478393554687500e+02,5.915530776977539062e+01
1.556787109375000000e+02,5.838976669311523438e+01
1.580256195068359375e+02,5.767650985717773438e+01
1.604071960449218750e+02,5.712042999267578125e+01
1.628545379638671875e+02,5.697119522094726562e+01
1.653079376220703125e+02,5.698295211791992188e+01
1.677613067626953125e+02,5.699353790283203125e+01
1.702146606445312500e+02,5.697842025756835938e+01
1.726680755615234375e+02,5.697692489624023438e+01
1.751136016845703125e+02,5.716985702514648438e+01
1.774974212646484375e+02,5.773993301391601562e+01
1.798626251220703125e+02,5.839074707031250000e+01
1.822099151611328125e+02,5.910366439819335938e+01
1.844375915527343750e+02,6.012749099731445312e+01
1.866333770751953125e+02,6.122191619873046875e+01
1.888238830566406250e+02,6.232693099975585938e+01
1.909356842041015625e+02,6.356420135498046875e+01
1.929076232910156250e+02,6.501757812500000000e+01
1.947068023681640625e+02,6.668524932861328125e+01
1.964466400146484375e+02,6.841486358642578125e+01
1.980952911376953125e+02,7.022792816162109375e+01
1.995537414550781250e+02,7.219966888427734375e+01
2.008671722412109375e+02,7.427080535888671875e+01
2.018190307617187500e+02,7.652832794189453125e+01
2.026340332031250000e+02,7.884179687500000000e+01
2.033911590576171875e+02,8.117527770996093750e+01
2.040328521728515625e+02,8.354070281982421875e+01
2.045951385498046875e+02,8.592842102050781250e+01
2.049428100585937500e+02,8.834825897216796875e+01
2.050166931152343750e+02,9.079914855957031250e+01
2.050140838623046875e+02,9.325256347656250000e+01
2.050170745849609375e+02,9.570597839355468750e+01
2.050138397216796875e+02,9.815938568115234375e+01
2.048750610351562500e+02,1.006077270507812500e+02
2.043701629638671875e+02,1.030024871826171875e+02
2.038359375000000000e+02,1.053968276977539062e+02
2.030316314697265625e+02,1.077144470214843750e+02
